IQ-TREE multicore version 2.2.2.7.modelmix COVID-edition for Mac OS X 64-bit built Jul 13 2023
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan.

Host:    baiyilindeMacBook-Air.local (SSE4.2, 8 GB RAM)
Command: /Users/lindsaybai/Desktop/BIOL8706/iqtree-2.2.2.7.modelmix-MacOSX/bin/iqtree2 -s /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta -m ESTMIXNUM -mrate E,I,G,I+G,R,I+R -opt_qmix_criteria 1
Seed:    203894 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Sun Aug 13 18:21:13 2023
Kernel:  SSE2 - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta ... Fasta format detected
Reading fasta file: done in 0.0006001 secs using 70.82% CPU
Alignment most likely contains DNA/RNA sequences
Constructing alignment: done in 0.00103307 secs using 73.18% CPU
Alignment has 23 sequences with 909 columns, 412 distinct patterns
365 parsimony-informative, 70 singleton sites, 474 constant sites
                      Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 3.00407e-05 secs using 69.91% CPU
   1  6810_C_talismani        0.00%    passed     19.76%
   2  6934_R_robusta          0.00%    passed     32.84%
   3  7031_S_tenuiremis       0.00%    passed      5.88%
   4  7188_A_sargassi         0.33%    failed      0.15%
   5  7200_P_grandis          0.00%    passed      6.94%
   6  7283_R_regalis          3.96%    passed     88.35%
   7  7319_P_armatus          0.33%    passed     60.82%
   8  7455_G_splendens        0.00%    failed      0.99%
   9  7934_R_robusta          0.00%    passed     34.16%
  10  8011_E_arcticus         0.33%    passed     45.17%
  11  8243_N_edwardsii        0.33%    passed     92.58%
  12  8248_P_vigilax          1.32%    failed      0.66%
  13  8251_A_pectinatus       0.33%    passed     59.87%
  14  8254_S_atlanticus       0.33%    failed      3.79%
  15  8262_D_paraseminudus    0.00%    passed     32.27%
  16  8263_D_seminudus        0.00%    passed     31.04%
  17  8265_G_inequalis        0.99%    passed     67.39%
  18  8267_L_lucens           0.00%    passed     28.38%
  19  8270_S_aff_inermis      1.32%    failed      0.34%
  20  8292_D_paraseminudus    0.00%    passed     23.38%
  21  8315_A_pectinatus       0.33%    passed     12.25%
  22  8509_A_japonicus        0.00%    passed     20.09%
  23  8409_R_robusta          0.00%    passed     39.39%
****  TOTAL                   0.43%  5 sequences failed composition chi2 test (p-value<5%; df=3)
Checking for duplicate sequences: done in 5.79357e-05 secs using 77.67% CPU
--------------------------------------------------------------------
|                Optimizing Q-mixture model                        |
--------------------------------------------------------------------


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Optimizing NNI: done in 0.013711 secs using 90.92% CPU
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -7651.203
2. Current log-likelihood: -7648.259
3. Current log-likelihood: -7645.297
4. Current log-likelihood: -7644.051
Optimal log-likelihood: -7642.755
Rate parameters:  A-C: 2.40814  A-G: 48.93556  A-T: 3.66251  C-G: 15.99838  C-T: 99.68359  G-T: 1.00000
Base frequencies:  A: 0.271  C: 0.134  G: 0.192  T: 0.404
Proportion of invariable sites: 0.364
Gamma shape alpha: 0.363
Parameters optimization took 4 rounds (0.074 sec)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

Time for fast ML tree search: 0.256 seconds

NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test up to 484 DNA models (sample size: 909) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+FO        8741.272     51  17584.543    17590.732    17829.973
  2  GTR+FO+I      7865.238     52  15834.477    15840.916    16084.719
  3  GTR+FO+G4     7689.905     52  15483.810    15490.249    15734.052
  4  GTR+FO+I+G4   7615.143     53  15336.286    15342.981    15591.341
  5  GTR+FO+R2     7870.479     53  15846.959    15853.654    16102.013
  6  GTR+FO+R3     7785.152     55  15680.305    15687.527    15944.984
  7  GTR+FO+R4     7730.246     57  15574.491    15582.261    15848.795
  8  GTR+FO+R5     7682.343     59  15482.686    15491.025    15766.614
  9  GTR+FO+R6     7646.933     61  15415.867    15424.797    15709.420
 10  GTR+FO+R7     7637.873     63  15401.745    15411.289    15704.923
 11  GTR+FO+R8     7634.201     65  15398.402    15408.580    15711.205
 14  GTR+FO+I+R2   7677.377     54  15462.754    15469.710    15722.621
 15  GTR+FO+I+R3   7608.973     56  15329.945    15337.438    15599.437
 16  GTR+FO+I+R4   7603.641     58  15323.282    15331.334    15602.398
 23  SYM           8782.590     48  17661.179    17666.649    17892.172
 24  SYM+I         7969.059     49  16036.117    16041.821    16271.922
 25  SYM+G4        7884.189     49  15866.379    15872.083    16102.183
 26  SYM+I+G4      7848.266     50  15796.532    15802.476    16037.149
 27  SYM+R2        7981.670     50  16063.341    16069.285    16303.958
 28  SYM+R3        7911.319     52  15926.638    15933.077    16176.880
 29  SYM+R4        7857.314     54  15822.629    15829.584    16082.495
 30  SYM+R5        7849.307     56  15810.614    15818.107    16080.106
 31  SYM+R6        7849.040     58  15814.079    15822.131    16093.195
 36  SYM+I+R2      7852.345     51  15806.691    15812.880    16052.120
 37  SYM+I+R3      7847.465     53  15800.931    15807.626    16055.985
 45  TVM+FO        8744.174     50  17588.349    17594.293    17828.966
 46  TVM+FO+I      7865.436     51  15832.871    15839.060    16078.301
 47  TVM+FO+G4     7677.159     51  15456.318    15462.507    15701.748
 48  TVM+FO+I+G4   7624.111     52  15352.223    15358.662    15602.465
 49  TVM+FO+R2     7873.356     52  15850.711    15857.150    16100.953
 50  TVM+FO+R3     7785.099     54  15678.198    15685.154    15938.065
 51  TVM+FO+R4     7733.623     56  15579.246    15586.739    15848.737
 52  TVM+FO+R5     7689.935     58  15495.871    15503.923    15774.987
 53  TVM+FO+R6     7645.414     60  15410.828    15419.460    15699.568
 54  TVM+FO+R7     7641.376     62  15406.752    15415.986    15705.117
 58  TVM+FO+I+R2   7677.946     53  15461.891    15468.586    15716.945
 59  TVM+FO+I+R3   7613.673     55  15337.346    15344.568    15602.025
 60  TVM+FO+I+R4   7607.810     57  15329.619    15337.389    15603.923
 67  TVMe          8787.685     47  17669.371    17674.611    17895.551
 68  TVMe+I        7971.030     48  16038.059    16043.529    16269.052
 69  TVMe+G4       7886.955     48  15869.910    15875.380    16100.903
 70  TVMe+I+G4     7848.719     49  15795.438    15801.142    16031.243
 71  TVMe+R2       7986.784     49  16071.569    16077.273    16307.374
 72  TVMe+R3       7909.923     51  15921.845    15928.034    16167.275
 73  TVMe+R4       7857.283     53  15820.567    15827.261    16075.621
 74  TVMe+R5       7849.784     55  15809.567    15816.789    16074.246
 75  TVMe+R6       7849.067     57  15812.134    15819.904    16086.438
 80  TVMe+I+R2     7852.348     50  15804.696    15810.640    16045.314
 81  TVMe+I+R3     7847.505     52  15799.010    15805.449    16049.252
 89  TIM3+FO       8776.100     49  17650.200    17655.905    17886.005
 90  TIM3+FO+I     7871.950     50  15843.900    15849.844    16084.518
 91  TIM3+FO+G4    7673.029     50  15446.057    15452.001    15686.675
 92  TIM3+FO+I+G4  7627.654     51  15357.309    15363.498    15602.739
 93  TIM3+FO+R2    7882.754     51  15867.507    15873.696    16112.937
 94  TIM3+FO+R3    7794.495     53  15694.991    15701.685    15950.045
 95  TIM3+FO+R4    7740.999     55  15591.997    15599.219    15856.676
 96  TIM3+FO+R5    7689.172     57  15492.345    15500.114    15766.648
 97  TIM3+FO+R6    7656.010     59  15430.020    15438.359    15713.948
 98  TIM3+FO+R7    7646.980     61  15415.960    15424.890    15709.513
 99  TIM3+FO+R8    7642.462     63  15410.924    15420.468    15714.102
102  TIM3+FO+I+R2  7685.082     52  15474.163    15480.603    15724.405
103  TIM3+FO+I+R3  7618.846     54  15345.692    15352.648    15605.559
104  TIM3+FO+I+R4  7614.432     56  15340.865    15348.358    15610.356
111  TIM3e         8818.561     46  17729.123    17734.139    17950.491
112  TIM3e+I       7995.464     47  16084.928    16090.169    16311.108
113  TIM3e+G4      7909.697     47  15913.395    15918.635    16139.575
114  TIM3e+I+G4    7871.233     48  15838.467    15843.937    16069.460
115  TIM3e+R2      7986.764     48  16069.529    16074.998    16300.521
116  TIM3e+R3      7938.225     50  15976.451    15982.395    16217.068
117  TIM3e+R4      7878.773     52  15861.546    15867.985    16111.788
118  TIM3e+R5      7870.288     54  15848.576    15855.531    16108.442
119  TIM3e+R6      7868.497     56  15848.993    15856.486    16118.485
124  TIM3e+I+R2    7874.613     49  15847.225    15852.930    16083.030
125  TIM3e+I+R3    7867.112     51  15836.224    15842.413    16081.653
126  TIM3e+I+R4    7861.672     53  15829.344    15836.038    16084.398
133  TIM2+FO       8764.123     49  17626.246    17631.951    17862.051
134  TIM2+FO+I     7874.380     50  15848.761    15854.705    16089.378
135  TIM2+FO+G4    7681.246     50  15462.492    15468.436    15703.110
136  TIM2+FO+I+G4  7629.707     51  15361.414    15367.603    15606.844
137  TIM2+FO+R2    7881.224     51  15864.449    15870.638    16109.878
138  TIM2+FO+R3    7792.741     53  15691.481    15698.176    15946.536
139  TIM2+FO+R4    7740.561     55  15591.122    15598.343    15855.801
140  TIM2+FO+R5    7698.009     57  15510.018    15517.788    15784.322
141  TIM2+FO+R6    7657.136     59  15432.271    15440.611    15716.200
142  TIM2+FO+R7    7646.392     61  15414.783    15423.713    15708.336
143  TIM2+FO+R8    7642.419     63  15410.837    15420.380    15714.015
146  TIM2+FO+I+R2  7685.028     52  15474.055    15480.495    15724.297
147  TIM2+FO+I+R3  7619.739     54  15347.479    15354.434    15607.345
148  TIM2+FO+I+R4  7614.913     56  15341.826    15349.319    15611.318
155  TIM2e         8830.720     46  17753.440    17758.456    17974.808
156  TIM2e+I       8016.808     47  16127.616    16132.856    16353.796
157  TIM2e+G4      7924.203     47  15942.406    15947.647    16168.587
158  TIM2e+I+G4    7891.347     48  15878.694    15884.164    16109.687
159  TIM2e+R2      8027.920     48  16151.839    16157.309    16382.832
160  TIM2e+R3      7958.621     50  16017.242    16023.186    16257.859
161  TIM2e+R4      7902.194     52  15908.389    15914.828    16158.631
162  TIM2e+R5      7891.666     54  15891.333    15898.288    16151.199
163  TIM2e+R6      7889.269     56  15890.538    15898.031    16160.029
168  TIM2e+I+R2    7898.134     49  15894.267    15899.972    16130.072
169  TIM2e+I+R3    7876.636     51  15855.273    15861.462    16100.703
170  TIM2e+I+R4    7875.099     53  15856.199    15862.894    16111.253
177  TIM+FO        8766.866     49  17631.732    17637.436    17867.536
178  TIM+FO+I      7866.877     50  15833.755    15839.699    16074.372
179  TIM+FO+G4     7682.745     50  15465.489    15471.433    15706.106
180  TIM+FO+I+G4   7637.177     51  15376.354    15382.543    15621.784
181  TIM+FO+R2     7875.589     51  15853.179    15859.368    16098.608
182  TIM+FO+R3     7792.142     53  15690.284    15696.979    15945.339
183  TIM+FO+R4     7741.944     55  15593.888    15601.109    15858.567
184  TIM+FO+R5     7706.606     57  15527.212    15534.981    15801.515
185  TIM+FO+R6     7671.129     59  15460.258    15468.597    15744.186
186  TIM+FO+R7     7651.445     61  15424.891    15433.821    15718.444
187  TIM+FO+R8     7646.576     63  15419.153    15428.696    15722.331
190  TIM+FO+I+R2   7684.596     52  15473.192    15479.631    15723.434
191  TIM+FO+I+R3   7624.663     54  15357.325    15364.281    15617.192
192  TIM+FO+I+R4   7619.315     56  15350.631    15358.124    15620.122
199  TIMe          8825.004     46  17742.008    17747.024    17963.376
200  TIMe+I        7983.284     47  16060.568    16065.808    16286.748
201  TIMe+G4       7895.339     47  15884.678    15889.918    16110.858
202  TIMe+I+G4     7860.671     48  15817.342    15822.812    16048.335
203  TIMe+R2       8000.687     48  16097.373    16102.843    16328.366
204  TIMe+R3       7934.763     50  15969.527    15975.471    16210.144
